Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Casa de villa;Ventanilla;4;2;1;78;2300.0;50.0;25.0
Casa;La Punta;2;0;0;55;1000.0;;
Casa en condominio;Villa El Salvador;1;1;1;100;1750.0;220.0;
Casa de villa;Mi Perú;2;0;0;57;1100.0;25.0;
Casa;Ate;4;4;4;500;15000.0;974.0;
Casa de villa;San Luis;2;1;0;60;1100.0;200.0;14.0
Casa;Lince;1;0;0;40;600.0;;
Casa;Lince;2;3;0;70;1500.0;;
Casa;Punta Hermosa;5;6;3;1000;28000.0;2650.0;1550.0
Casa;Lurín;4;0;0;289;4200.0;190.0;384.0
Casa;Santiago de Surco;1;0;0;36;800.0;;
Casa;Lurigancho;4;2;2;380;15000.0;;6700.0
Casa;Pueblo Libre;2;0;0;60;700.0;;
Casa en condominio;Ate;4;4;4;341;9000.0;850.0;766.0
Casa en condominio;Ate;4;5;3;453;8500.0;520.0;684.0
Casa;San Isidro;1;1;0;50;650.0;;
Casa en condominio;Ate;4;3;3;600;7800.0;1001.0;955.0
Casa;San Luis;2;1;0;60;900.0;;
Casa en condominio;Ate;4;3;4;600;15000.0;2200.0;1000.0
Casa;Jesús María;7;0;3;600;12000.0;;6000.0
Casa;Pueblo Libre;6;2;3;700;19000.0;;
Casa;Ate;3;4;1;222;4700.0;735.0;247.0
Casa en condominio;Lince;3;2;2;120;2200.0;100.0;
Casa;San Luis;4;1;0;120;2000.0;633.0;
Casa;Santa Anita;2;0;0;55;1100.0;100.0;
Casa;El Agustino;2;1;0;50;1000.0;;120.0
Casa de villa;Independencia;3;0;0;120;1200.0;;
Casa;Ate;3;5;0;250;2400.0;;650.0
Casa;Ancón;2;1;0;60;900.0;;
Casa;Mi Perú;4;0;0;90;3500.0;;
Casa en condominio;Ate;6;0;6;750;12000.0;1980.0;1200.0
Casa en condominio;Ate;4;2;1;400;7900.0;1500.0;
Casa;San Miguel;10;0;0;1050;45000.0;;51784.0
Casa;Mi Perú;2;0;0;68;1000.0;;
Casa en condominio;Rímac;6;2;2;350;18000.0;3400.0;1351.0
Casa;Ancón;3;1;0;65;1000.0;;
Casa;El Agustino;2;1;0;60;600.0;;
Casa;Mi Perú;2;0;0;80;800.0;100.0;
Casa en condominio;Ate;5;4;4;450;6499.0;1150.0;800.0
Casa;Lince;2;0;1;60;800.0;;
Casa en condominio;San Juan de Miraflores;3;1;0;111;2300.0;80.0;200.0
Casa de villa;La Perla;1;0;0;41;600.0;67.0;
Casa en condominio;Ate;4;4;4;315;15000.0;1200.0;850.0
Casa en condominio;Ancón;2;1;0;72;1000.0;160.0;
Casa comercial;Punta Negra;0;0;0;72;1500.0;;91.0
Casa en condominio;Ate;4;2;4;300;9000.0;950.0;5500.0
Casa en condominio;Jesús María;3;2;3;190;2000.0;1270.0;400.0
Casa en condominio;Ate;5;3;5;291;12000.0;550.0;4950.0
Casa en condominio;Ate;4;2;4;585;17000.0;1748.0;1210.0
Casa;Lince;3;1;0;80;1000.0;;
Casa en condominio;Lince;2;3;0;100;1400.0;85.0;
Casa comercial;Lurigancho;0;0;0;300;17000.0;;
Casa;La Punta;4;2;2;400;11000.0;;
Casa;Santiago de Surco;5;1;3;320;17000.0;;396.0
Casa;Lince;2;1;0;100;1200.0;;
Casa;Pucusana;3;2;1;200;4000.0;;20.0
Casa;Lince;2;0;0;60;700.0;;
Casa en condominio;Lince;2;1;0;74;1100.0;300.0;
Casa en condominio;Ate;6;6;6;1000;24009.0;;
Casa en condominio;Punta Hermosa;3;3;1;400;7000.0;;3000.0
Casa;Villa El Salvador;5;3;2;759;8000.0;700.0;400.0
Casa;La Perla;4;3;2;400;7000.0;1.0;
Casa;Lince;2;1;0;90;1300.0;;
Casa en condominio;Ate;4;3;4;500;10000.0;1050.0;1300.0
Casa en condominio;Ate;5;4;5;1200;45000.0;2100.0;25000.0
Casa en condominio;Rímac;2;1;0;70;1100.0;;
Casa;Bellavista;2;1;0;98;990.0;;
Casa comercial;Lince;2;0;1;50;25000.0;;
Casa en condominio;Lince;2;1;0;70;900.0;200.0;
Casa;Punta Hermosa;3;2;1;300;7000.0;290.0;
Casa comercial;Pachacámac;0;0;0;42;900.0;1140.0;175.0
Casa;Mi Perú;2;1;0;60;800.0;;
Casa en condominio;Mi Perú;5;0;3;520;4900.0;723.0;519.0
Casa en condominio;Jesús María;4;4;4;600;20000.0;1800.0;
Casa en condominio;Chaclacayo;3;4;1;160;3500.0;;152.0
Casa;Punta Hermosa;2;0;0;46;1850.0;179.0;29.0
Casa;Lince;3;2;1;100;;;
Casa en condominio;Jesús María;4;2;4;260;7000.0;7068.0;5998.0
Casa;Pucusana;5;7;3;388;35000.0;;277.0
Casa comercial;Chorrillos;0;3;0;433;17000.0;;28419.0
Casa de villa;San Miguel;2;0;0;78;1700.0;35.0;
Casa en condominio;Ate;4;3;4;980;22000.0;1400.0;800.0
Casa en condominio;Villa El Salvador;2;1;0;75;2000.0;580.0;
Casa en condominio;Ate;3;2;0;230;5800.0;1400.0;440.0
Casa comercial;Villa El Salvador;8;8;2;1000;28000.0;;300.0
Casa;Santa Anita;2;0;0;57;900.0;;
Casa comercial;Ventanilla;0;3;0;80;2500.0;;290.0
Casa en condominio;Ate;4;3;4;340;10000.0;1100.0;550.0
Casa;Pachacámac;5;3;0;233;3000.0;;659.0
Casa comercial;Chorrillos;0;0;0;280;16000.0;;1166.0
Casa en condominio;Lince;1;0;0;50;700.0;;
Casa;Lince;3;2;1;239;3750.0;;
Casa en condominio;Lince;2;1;0;55;1000.0;;
Casa en condominio;Jesús María;4;5;4;500;10500.0;1000.0;
Casa;Lince;2;1;0;80;900.0;;
Casa comercial;Chorrillos;0;1;0;118;10000.0;;627.0
Casa en condominio;San Luis;2;1;0;55;1000.0;450.0;
Casa;Jesús María;4;3;1;316;4600.0;830.0;
Casa;Lurigancho;4;4;3;450;20000.0;;1750.0
Casa comercial;Lince;0;0;0;100;13000.0;;
Casa en condominio;Ate;5;4;3;622;10000.0;1390.0;1486.0
Casa;La Punta;2;0;1;60;1550.0;100.0;
Casa comercial;Santiago de Surco;0;0;0;272;7000.0;;2225.0
Casa en condominio;Ate;4;3;2;434;7500.0;2694.0;1150.0
Casa en condominio;Villa El Salvador;5;3;5;300;6000.0;1300.0;200.0
Casa;San Luis;3;1;1;106;2300.0;180.0;57.0
Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;1486.0
Casa en condominio;Lince;2;1;1;90;1700.0;208.0;35.0
Casa;Santa Rosa;1;0;0;35;800.0;;
Casa;La Perla;0;0;0;160;15000.0;;426.0
Casa;Ventanilla;1;0;0;27;800.0;;
Casa en condominio;Ate;6;8;0;924;13000.0;2214.0;1060.0
Casa de villa;Ventanilla;2;0;0;55;1500.0;30.0;21.0
Casa en condominio;Ate;4;4;4;850;18009.0;1560.0;
Casa en condominio;Pucusana;6;3;5;300;25000.0;;
Casa;Lince;2;0;0;100;1500.0;;
Casa;Bellavista;1;0;0;30;400.0;;
Casa en condominio;Ate;8;4;4;986;15000.0;1543.0;2082.0
Casa de villa;Comas;3;2;0;130;6000.0;;190.0
Casa de villa;Santa María del Mar;1;0;0;50;1000.0;90.0;
Casa en condominio;Ate;4;4;2;360;6500.0;1145.0;889.0
Casa;Carmen de La Legua;1;0;0;32;500.0;;
Casa en condominio;Ate;4;3;4;320;9000.0;500.0;5000.0
Casa en condominio;Ate;4;3;2;410;8500.0;870.0;8100.0
Casa de villa;Lurigancho;2;0;1;50;3000.0;65.0;118.0
Casa en condominio;Lince;3;5;2;250;4000.0;250.0;348.0
Casa;Ate;5;3;5;615;18000.0;2300.0;
Casa comercial;Chaclacayo;3;0;0;67;1600.0;;
Casa;Lince;2;1;0;80;1215.0;;
Casa;Santa Rosa;2;0;0;60;550.0;;
Casa;Carmen de La Legua;1;0;1;50;1000.0;;
Casa;Bellavista;2;1;0;90;1500.0;;
Casa;Lince;2;1;0;80;1290.0;;
Casa en condominio;Jesús María;3;2;3;241;4000.0;900.0;
Casa comercial;La Punta;0;0;0;301;39000.0;;452.0
Casa comercial;Breña;0;0;0;220;16000.0;;
Casa comercial;La Punta;0;2;0;461;55400.0;9696.0;692.0
Casa en condominio;Ate;4;3;2;260;8000.0;900.0;530.0
Casa en condominio;Ate;4;0;1;265;12000.0;870.0;5232.0
Casa de villa;Santa Rosa;2;0;0;61;1000.0;;
Casa en condominio;San Luis;4;4;2;680;4500.0;400.0;300.0
Casa comercial;Lurín;0;0;0;492;35000.0;;
Casa en condominio;Mi Perú;3;1;1;405;4200.0;700.0;388.0
Casa en condominio;Ate;4;3;4;600;15000.0;2200.0;1000.0
Casa;Cieneguilla;1;0;0;50;600.0;;
Casa comercial;Chorrillos;0;8;0;465;26000.0;;3545.0
Casa en condominio;Ate;5;4;4;622;10000.0;1390.0;1514.0
Casa en condominio;Jesús María;4;4;2;240;4200.0;1500.0;360.0
Casa;Ate;5;5;0;341;8200.0;;794.0
Casa de villa;Villa El Salvador;2;0;0;50;870.0;;2.0
Casa en condominio;San Luis;4;4;4;300;5000.0;690.0;
Casa en condominio;San Luis;4;3;4;320;5000.0;690.0;
Casa en condominio;San Juan de Lurigancho;4;3;1;379;15000.0;1100.0;536.0
Casa en condominio;Villa El Salvador;3;3;1;150;2500.0;150.0;
Casa;La Punta;5;0;3;265;8400.0;;
Casa en condominio;Jesús María;5;3;5;350;6000.0;495.0;296.0
Casa;Lince;2;1;0;127;2500.0;;
Casa comercial;Jesús María;0;2;0;360;15000.0;;6072.0
Casa en condominio;La Perla;4;2;2;500;12000.0;579.0;1438.0
Casa;Lince;3;7;1;212;1500.0;;846.0
Casa en condominio;Ate;4;4;4;1000;24000.0;2214.0;1980.0
Casa;Lince;2;1;1;65;800.0;;
Casa;Ate;4;4;2;660;30000.0;1050.0;130.0
Casa;Punta Hermosa;7;6;5;1000;30000.0;990.0;
Casa en condominio;Jesús María;4;8;4;1800;20000.0;;
Casa en condominio;Lince;2;1;0;70;700.0;50.0;
Casa en condominio;Ate;4;3;1;400;8500.0;970.0;
Casa de villa;Santa Anita;2;1;1;65;1500.0;140.0;802.0
Casa en condominio;Ate;4;4;3;622;9991.0;1380.0;1486.0
Casa en condominio;San Luis;3;5;1;272;3600.0;400.0;2246.0
Casa en condominio;Ate;5;4;5;600;10000.0;1600.0;
Casa;San Luis;2;0;0;85;1800.0;;82.0
Casa en condominio;Ate;5;1;2;250;9000.0;1650.0;500.0
Casa en condominio;Jesús María;4;3;3;153;3650.0;900.0;1.0
Casa de villa;El Agustino;1;0;0;40;750.0;;
Casa en condominio;Jesús María;5;4;4;800;12000.0;1000.0;1300.0
Casa comercial;Comas;0;0;0;750;9000.0;;8800.0
Casa en condominio;Ancón;3;1;0;65;900.0;170.0;
Casa;Lurín;5;3;1;300;15000.0;;
Casa;Lince;3;3;0;140;1800.0;;
Casa;Pachacámac;2;1;1;60;1250.0;;
Casa en condominio;Ate;4;3;4;263;7000.0;707.0;
Casa;Lurigancho;4;4;4;452;20000.0;;1749.0
Casa comercial;Chorrillos;0;0;0;347;6800.0;;2251.0
Casa;Bellavista;3;4;0;200;1500.0;;
Casa;Pucusana;1;0;0;22;500.0;98.0;6.0
Casa en condominio;Ate;5;0;5;1000;25000.0;1300.0;1600.0
Casa comercial;Santa Anita;0;4;0;406;13000.0;;
Casa en condominio;Ate;4;3;3;266;7900.0;1600.0;6295.0
Casa de villa;Breña;2;0;0;48;1200.0;40.0;14.0
Casa en condominio;Ate;4;6;4;763;11000.0;800.0;2040.0
Casa;Punta Hermosa;3;1;1;300;7000.0;180.0;573.0
Casa en condominio;Ate;5;5;4;806;30000.0;2695.0;2753.0
Casa de villa;Bellavista;1;0;0;40;600.0;100.0;14.0
Casa comercial;Chorrillos;0;0;0;680;19800.0;;1947.0
Casa;Jesús María;3;2;3;151;4000.0;650.0;
Casa en condominio;Ate;4;4;2;600;30000.0;1100.0;1300.0
Casa en condominio;Ate;3;6;1;420;6900.0;992.0;773.0
Casa;Ate;2;1;0;60;1600.0;;
Casa en condominio;Ate;6;6;3;622;9950.0;1300.0;1485.0
Casa en condominio;Ate;4;3;2;466;7500.0;2695.0;1124.0
Casa;Lince;2;1;0;110;1050.0;;
Casa;Lince;2;1;0;239;10000.0;;
Casa en condominio;Lince;2;1;0;74;1200.0;;
Casa;Lurigancho;4;3;4;406;20000.0;;1912.0
Casa en condominio;Lince;1;0;0;230;2750.0;300.0;400.0
Casa;Mi Perú;4;4;1;200;4000.0;;
Casa;San Martín de Porres;2;1;0;70;1300.0;;
Casa;Lince;1;0;0;50;450.0;;2.0
Casa en condominio;Ancón;4;4;3;550;5500.0;250.0;
Casa en condominio;Ate;5;0;5;650;10000.0;2000.0;8000.0
Casa en condominio;Ate;4;2;4;350;9000.0;1050.0;7000.0
Casa comercial;Ventanilla;0;0;0;120;3000.0;;312.0
Casa comercial;Chorrillos;4;2;0;380;15500.0;;1640.0
Casa en condominio;Ate;6;9;5;1100;35000.0;3500.0;
Casa de villa;La Punta;1;0;0;89;2200.0;;80.0
Casa en condominio;Ate;5;4;4;474;20000.0;973.0;17300.0
Casa en condominio;Jesús María;6;0;5;636;24000.0;1900.0;1900.0
Casa en condominio;Jesús María;5;3;4;220;4500.0;670.0;220.0
Casa en condominio;Ate;5;10;5;403;10900.0;855.0;968.0
Casa de villa;Ventanilla;2;0;0;120;1500.0;230.0;46.0
Casa;Ate;1;0;0;130;5000.0;;
Casa comercial;Lince;0;0;0;100;9000.0;;
Casa comercial;Ventanilla;0;3;0;80;2500.0;;290.0
Casa;Lince;2;1;1;110;1500.0;;
Casa de villa;La Perla;1;0;0;30;450.0;20.0;50.0
Casa comercial;La Punta;0;2;0;295;35400.0;6210.0;443.0
Casa de villa;Carabayllo;1;0;0;53;700.0;40.0;
Casa;Ate;4;3;1;111;5100.0;735.0;
Casa;Jesús María;6;0;4;600;10000.0;;1080.0
Casa de villa;Chorrillos;2;1;0;50;2000.0;;
Casa en condominio;Ate;4;4;2;385;7500.0;1150.0;750.0
Casa de villa;La Punta;4;2;4;180;3000.0;;
Casa en condominio;Ate;5;4;5;631;18000.0;980.0;1800.0
Casa en condominio;Pucusana;6;35;4;1100;22000.0;;
Casa;Ancón;2;1;0;60;1000.0;;
Casa comercial;Chorrillos;0;5;0;600;28000.0;;2948.0
Casa comercial;Chorrillos;1;5;0;563;18000.0;;1600.0
Casa;Lince;1;0;0;70;700.0;;
Casa;Lince;2;0;0;74;800.0;;
Casa;Ate;5;4;3;1008;10000.0;1390.0;148.0
Casa;Lince;4;1;0;80;7000.0;;
Casa comercial;Comas;0;0;0;80;13000.0;;250.0
Casa;Jesús María;4;2;3;250;3800.0;490.0;
Casa;Magdalena del Mar;1;2;0;47;850.0;;
Casa de villa;Santa Rosa;1;0;0;50;900.0;;
Casa en condominio;Jesús María;3;2;3;145;2500.0;463.0;
Casa;Lince;2;2;0;65;1000.0;440.0;
Casa en condominio;Ate;4;4;2;600;30000.0;1100.0;13999.0
Casa;Ate;5;4;5;638;25000.0;1450.0;1800.0
Casa comercial;Comas;0;0;0;209;26000.0;;
Casa en condominio;Jesús María;3;2;3;250;4500.0;900.0;519.0
Casa de villa;San Luis;0;0;0;28;500.0;;35.0
Casa;Ate;5;3;3;400;8450.0;790.0;600.0
Casa en condominio;Ate;4;0;4;250;13000.0;600.0;
Casa en condominio;Ate;4;3;4;355;9000.0;707.0;600.0
Casa en condominio;Ate;4;4;4;869;24000.0;2220.0;2269.0
Casa en condominio;Villa El Salvador;4;4;1;220;3300.0;723.0;
Casa en condominio;San Luis;8;0;0;720;6000.0;500.0;100.0
Casa en condominio;Jesús María;3;2;3;260;12500.0;;
Casa de villa;San Martín de Porres;2;0;0;55;800.0;;
Casa;Los Olivos;1;0;0;45;500.0;;
Casa;Breña;4;5;2;165;4700.0;;
Casa en condominio;Jesús María;4;3;3;153;3500.0;900.0;100.0
Casa de villa;Ancón;1;0;0;30;500.0;;
Casa;San Isidro;3;10;1;120;2300.0;;
Casa comercial;Pucusana;0;4;0;416;15000.0;;4516.0
Casa comercial;Jesús María;0;0;0;130;6500.0;200.0;502.0
Casa en condominio;Ate;4;0;4;590;20000.0;2000.0;
Casa de villa;Villa El Salvador;1;0;0;40;670.0;;2.0
Casa;San Borja;2;1;0;80;850.0;520.0;12.0
Casa;Mi Perú;2;1;0;60;800.0;;
Casa de villa;Barranco;1;0;0;24;500.0;8.0;13.0
Casa;San Miguel;1;0;0;40;900.0;;
Casa comercial;Lince;0;4;0;400;6000.0;;70.0
Casa comercial;Ate;0;0;0;200;10000.0;1.0;150.0
Casa;Punta Hermosa;4;4;2;490;20000.0;670.0;
Casa en condominio;Jesús María;3;2;1;250;6000.0;955.0;542.0
Casa comercial;Punta Hermosa;0;0;0;215;7900.0;1.0;253.0
Casa en condominio;Ate;4;5;1;680;7500.0;150.0;950.0
Casa en condominio;Ate;5;6;5;755;14000.0;2200.0;2000.0
Casa;Mi Perú;5;6;3;810;7000.0;525.0;
Casa;Lince;2;1;1;70;1350.0;;
Casa en condominio;Ate;6;4;4;720;12000.0;800.0;
Casa;Lince;3;1;1;100;1500.0;;
Casa;Lurín;2;1;0;107;1700.0;;
Casa en condominio;Chorrillos;5;0;0;600;18000.0;;2300.0
Casa;La Molina;2;2;1;90;2000.0;;
Casa;La Perla;1;0;0;40;550.0;;
Casa en condominio;Ancón;2;2;2;75;1800.0;;
Casa;La Molina;4;0;1;100;1800.0;;40.0
Casa;Santa Anita;4;1;1;125;1900.0;;
Casa comercial;Chorrillos;1;4;0;450;22000.0;;3142.0
Casa en condominio;San Miguel;3;1;0;78;1200.0;375.0;29.0
Casa en condominio;Ate;6;0;4;700;30000.0;2100.0;700.0
Casa en condominio;Ate;5;9;4;870;28000.0;1650.0;
Casa comercial;San Miguel;0;6;0;342;15000.0;;1900.0
Casa;Lurín;3;2;1;111;1800.0;;180.0
Casa en condominio;Ate;4;4;4;600;35000.0;1100.0;12800.0
Casa;San Isidro;2;0;0;75;1500.0;;
Casa;Callao;1;0;0;50;1100.0;;18.0
Casa;San Borja;2;1;0;60;600.0;;
Casa en condominio;Ate;3;6;1;420;6900.0;1042.0;773.0
Casa;Jesús María;4;4;4;571;10000.0;850.0;
Casa en condominio;Ate;5;5;4;900;12000.0;1500.0;25000.0
Casa;San Miguel;4;5;0;274;19000.0;;
Casa;San Borja;3;1;2;150;8000.0;;99.0
Casa comercial;Pachacámac;0;0;0;370;11000.0;;83.0
Casa;Chaclacayo;2;1;0;70;3000.0;;150.0
Casa;Bellavista;2;0;0;100;1000.0;;
Casa;Lurigancho;4;1;4;356;20000.0;;1189.0
Casa en condominio;Villa El Salvador;4;3;2;200;3600.0;600.0;
Casa en condominio;Pucusana;3;7;3;320;7500.0;1900.0;950.0
Casa de villa;San Miguel;2;1;2;90;2700.0;600.0;170.0
Casa comercial;Chorrillos;0;2;0;261;18000.0;;1442.0
Casa;Chorrillos;4;2;0;221;13000.0;;
Casa;Lurigancho;5;5;4;450;35000.0;;1540.0
Casa;Lima;2;0;2;63;2300.0;;
Casa de villa;Lince;1;0;0;50;550.0;;
Casa en condominio;Villa El Salvador;5;3;5;350;4500.0;400.0;1.0
Casa;La Perla;2;0;0;40;500.0;;
Casa en condominio;Ate;5;2;4;285;9500.0;600.0;500.0
Casa comercial;Comas;0;0;0;280;35000.0;;
Casa;Cieneguilla;2;0;0;27;900.0;;
Casa;Ate;4;0;2;400;5500.0;2619.0;
Casa en condominio;Ate;4;4;4;674;25000.0;2100.0;2000.0
Casa;Villa María del Triunfo;4;1;4;220;5200.0;400.0;
Casa;Ate;2;1;0;93;1200.0;;
Casa en condominio;Ate;4;3;4;381;9000.0;706.0;
Casa comercial;Chorrillos;12;2;1;380;15000.0;;1640.0
Casa;Comas;2;0;0;55;1000.0;71.0;
Casa en condominio;Rímac;4;2;0;800;30000.0;2000.0;1000.0
Casa en condominio;Callao;3;6;1;272;3000.0;472.0;259.0
Casa;Santa Anita;2;0;0;66;1300.0;100.0;
Casa de villa;La Victoria;2;1;0;71;1200.0;80.0;
Casa;Comas;2;1;0;80;1500.0;;
Casa de villa;Lurín;6;1;1;132;4500.0;200.0;210.0
Casa en condominio;Ate;5;3;5;775;25000.0;2134.0;20987.0
Casa en condominio;Ate;4;4;3;256;7900.0;1495.0;700.0
Casa;Ate;5;2;5;320;16000.0;1000.0;800.0
Casa en condominio;Punta Hermosa;4;2;2;400;9000.0;850.0;450.0
Casa en condominio;Ate;4;2;1;258;6500.0;1500.0;650.0
Casa;San Isidro;1;0;0;40;700.0;;
Casa en condominio;Villa María del Triunfo;2;1;2;90;1800.0;;
Casa;Lince;2;1;1;70;850.0;;
Casa;Lince;3;1;0;80;1300.0;;
Casa de villa;La Molina;2;0;0;100;1500.0;150.0;50.0
Casa;Lurigancho;4;3;3;500;18500.0;;993.0
Casa de villa;Comas;2;1;0;60;1100.0;;
Casa en condominio;Ate;4;3;3;260;7900.0;1495.0;700.0
Casa;Lurigancho;5;4;4;2252;35000.0;;1794.0
Casa comercial;Chorrillos;0;0;0;212;4800.0;;403.0
Casa en condominio;Ate;5;4;4;628;11000.0;1700.0;2200.0
Casa en condominio;Ate;4;6;4;500;25000.0;1586.0;1298.0
Casa en condominio;Ate;5;4;5;300;9000.0;580.0;680.0
Casa comercial;Chorrillos;0;0;0;450;15000.0;;2000.0
Casa de villa;El Agustino;2;0;0;80;1310.0;;
Casa en condominio;Jesús María;3;1;0;70;1850.0;227.0;
Casa en condominio;Mi Perú;2;1;0;60;800.0;300.0;
Casa;Ate;1;0;0;30;650.0;;
Casa;Callao;4;3;0;260;5000.0;;380.0
Casa en condominio;Ate;4;2;3;330;9000.0;860.0;
Casa;Jesús María;4;2;4;290;5500.0;955.0;
Casa en condominio;Lince;2;1;0;78;1000.0;;
Casa;Breña;4;2;2;430;8000.0;;
Casa;Lince;2;1;0;80;1200.0;;
Casa en condominio;Ate;5;5;5;780;30000.0;1700.0;800.0
Casa comercial;Comas;0;0;0;60;12000.0;;
Casa;Lince;2;4;0;80;1200.0;;
Casa;Lima;2;0;0;100;950.0;;
Casa en condominio;San Luis;4;2;4;160;2800.0;250.0;250.0
Casa de villa;Carmen de La Legua;2;0;0;80;800.0;;
Casa;Pueblo Libre;4;2;3;409;10000.0;;1025.0
Casa en condominio;Ate;4;2;4;350;13000.0;1500.0;1000.0
Casa en condominio;Ate;4;4;3;622;10000.0;1380.0;1486.0
Casa en condominio;Villa El Salvador;3;2;1;135;2000.0;830.0;120.0
Casa comercial;Breña;5;1;0;300;12500.0;;
Casa en condominio;Ate;6;4;6;700;25000.0;1600.0;1200.0
Casa comercial;Chorrillos;5;4;0;332;30000.0;;
Casa comercial;San Miguel;0;5;0;400;7000.0;;515.0
Casa;Pueblo Libre;10;0;0;500;26000.0;;2670.0
Casa en condominio;Ate;5;3;5;338;12000.0;900.0;1000.0
Casa comercial;San Miguel;4;5;0;320;17000.0;;
Casa;Pucusana;3;3;0;360;12000.0;;104.0
Casa en condominio;Ate;5;0;5;850;20000.0;2150.0;2600.0
Casa en condominio;Chorrillos;4;1;0;120;4500.0;150.0;100.0
Casa;Lince;2;0;0;60;700.0;;
Casa en condominio;Punta Hermosa;6;4;0;650;7000.0;1200.0;800.0
Casa en condominio;Ate;6;5;6;615;20000.0;2000.0;1000.0
Casa en condominio;Jesús María;6;3;6;220;5700.0;1000.0;560.0
Casa;Mi Perú;5;2;3;520;4900.0;724.0;519.0
Casa;Ate;5;4;3;622;10000.0;1134.0;
Casa;San Miguel;2;0;0;74;1300.0;;
Casa en condominio;Ate;5;3;5;775;25000.0;1750.0;21400.0
Casa en condominio;Ate;6;6;5;800;18000.0;1000.0;13000.0
Casa en condominio;Ate;4;4;4;651;35000.0;1700.0;12000.0
Casa en condominio;Ate;5;0;0;800;22000.0;2400.0;1400.0
Casa en condominio;Ate;4;3;4;423;16000.0;2150.0;1500.0
Casa en condominio;Ate;4;4;4;800;17000.0;2695.0;
Casa;Cieneguilla;2;0;0;70;850.0;;
Casa;Lince;2;0;0;70;1100.0;;
Casa en condominio;Jesús María;4;2;4;340;8500.0;500.0;690.0
Casa en condominio;Ate;5;6;5;680;20000.0;2870.0;1200.0
Casa en condominio;Mi Perú;2;1;0;62;800.0;165.0;
Casa;Santa Anita;2;1;0;38;1450.0;160.0;
Casa;Ancón;2;1;0;60;900.0;;
Casa;San Luis;2;1;0;59;1300.0;250.0;
Casa en condominio;Ate;5;3;5;900;25000.0;1415.0;1216.0
Casa;Ancón;2;1;0;60;800.0;;
Casa comercial;Chorrillos;0;0;0;250;16000.0;;
Casa;Pucusana;4;3;3;520;15000.0;2800.0;800.0
Casa en condominio;Ate;4;3;4;550;25000.0;1967.0;1330.0
Casa de villa;Ventanilla;2;0;0;55;1400.0;80.0;25.0
Casa de villa;El Agustino;1;0;0;40;500.0;;
Casa en condominio;Jesús María;4;4;1;200;3000.0;150.0;
Casa;Lince;1;0;0;65;600.0;;
Casa;El Agustino;2;0;0;35;750.0;;
Casa en condominio;Ate;4;3;4;315;8000.0;1082.0;820.0
Casa;Lince;2;0;0;58;900.0;;
Casa;Lince;1;0;0;50;550.0;;
Casa en condominio;Ate;3;3;2;700;7000.0;2500.0;760.0
Casa de villa;San Miguel;3;3;1;300;4950.0;135.0;170.0
Casa en condominio;Jesús María;5;3;5;800;10000.0;1500.0;171.0
Casa;El Agustino;1;1;0;45;800.0;;
Casa;Bellavista;2;3;0;98;1400.0;;
Casa en condominio;Ate;6;6;6;964;16000.0;1200.0;2398.0
Casa de villa;Ancón;2;0;0;50;500.0;;
Casa;Lince;1;0;0;55;650.0;;
Casa de villa;Lince;1;0;0;40;550.0;;
Casa en condominio;Ate;5;7;5;780;18000.0;2081.0;1540.0
Casa en condominio;Ate;4;3;4;512;15000.0;1967.0;1400.0
Casa;Independencia;3;4;1;400;2000.0;;223.0
Casa en condominio;San Luis;5;2;1;325;3000.0;200.0;383.0
Casa en condominio;Ate;4;8;4;1000;7900.0;1800.0;1400.0
Casa en condominio;Jesús María;4;4;4;500;9000.0;1000.0;1100.0
Casa;Callao;3;2;2;80;2000.0;;821.0
Casa;Ate;5;0;5;580;17000.0;1800.0;
Casa;Lince;2;1;0;110;1300.0;;
Casa;Lince;2;1;1;100;1000.0;;
Casa de villa;El Agustino;2;0;0;50;800.0;;
Casa;Lince;1;0;0;55;500.0;;
Casa en condominio;Ate;4;4;2;600;30000.0;1050.0;1300.0
Casa de villa;Santa María del Mar;2;0;0;80;1800.0;50.0;
Casa comercial;Pachacámac;0;0;0;25;750.0;;21.0
Casa en condominio;Ate;4;4;4;600;17000.0;1800.0;2200.0
Casa en condominio;Villa El Salvador;3;2;1;160;3000.0;;
Casa en condominio;Ate;5;0;5;900;20000.0;1324.0;16000.0
Casa comercial;Los Olivos;0;4;0;403;5000.0;;958.0
Casa de villa;Santiago de Surco;2;0;0;50;700.0;;
Casa en condominio;Callao;4;1;4;253;3600.0;805.0;239.0
Casa;Mi Perú;2;0;0;42;900.0;;
Casa en condominio;Ate;4;5;4;325;8009.0;600.0;
Casa en condominio;Ate;4;2;2;210;5000.0;970.0;
Casa;Lince;2;1;0;70;800.0;;
Casa;La Molina;3;1;0;85;1350.0;;18.0
Casa;Lince;1;0;0;100;1500.0;;
Casa;Ate;6;5;5;765;7000.0;1699.0;
Casa en condominio;Ate;6;3;3;430;7500.0;150.0;1000.0
Casa comercial;Callao;0;0;0;80;5000.0;2234.0;307.0
Casa en condominio;Jesús María;3;2;3;224;4500.0;1622.0;418.0
Casa;Ate;5;2;4;622;10000.0;1129.0;
Casa en condominio;Ate;4;0;4;1000;25000.0;2500.0;25000.0
Casa;Lince;3;1;1;100;1500.0;;
